season,casual,registered,cnt,holiday,weekday,workingday,mnth
summer,898,1354,2252,0,6,0,4
summer,1651,1598,3249,0,0,0,4
summer,734,2381,3115,0,1,1,4
summer,167,1628,1795,0,2,1,4
summer,413,2395,2808,0,3,1,4
summer,571,2570,3141,0,4,1,4
summer,172,1299,1471,0,5,1,4
summer,879,1576,2455,0,6,0,4
summer,1188,1707,2895,0,0,0,4
summer,855,2493,3348,0,1,1,4
summer,257,1777,2034,0,2,1,4
summer,209,1953,2162,0,3,1,4
summer,529,2738,3267,0,4,1,4
summer,642,2484,3126,1,5,0,4
summer,121,674,795,0,6,0,4
summer,1558,2186,3744,0,0,0,4
summer,669,2760,3429,0,1,1,4
summer,409,2795,3204,0,2,1,4
summer,613,3331,3944,0,3,1,4
summer,745,3444,4189,0,4,1,4
summer,177,1506,1683,0,5,1,4
summer,1462,2574,4036,0,6,0,4
summer,1710,2481,4191,0,0,0,4
summer,773,3300,4073,0,1,1,4
summer,773,3300,4073,0,1,1,9
summer,773,3300,4073,0,2,1,4
summer,773,3300,4073,0,2,1,9
fall,371,3702,4073,0,1,1,4
fall,371,3702,4073,0,1,1,9
fall,371,3702,4073,0,2,1,4
fall,371,3702,4073,0,2,1,9
summer,678,3722,4400,0,2,1,4
summer,547,3325,3872,0,3,1,4
summer,569,3489,4058,0,4,1,4
summer,878,3717,4595,0,5,1,4
summer,1965,3347,5312,0,6,0,4
summer,1965,3347,5312,0,6,0,6
summer,1965,3347,5312,0,5,1,4
summer,1965,3347,5312,0,5,1,6
summer,898,4414,5312,0,6,0,4
summer,898,4414,5312,0,6,0,6
summer,898,4414,5312,0,5,1,4
summer,898,4414,5312,0,5,1,6
summer,1138,2213,3351,0,0,0,5
summer,1138,2213,3351,0,0,0,9
summer,1138,2213,3351,1,1,0,5
summer,1138,2213,3351,1,1,0,9
fall,1236,2115,3351,0,0,0,5
fall,1236,2115,3351,0,0,0,9
fall,1236,2115,3351,1,1,0,5
fall,1236,2115,3351,1,1,0,9
summer,847,3554,4401,0,1,1,5
summer,847,3554,4401,0,1,1,6
summer,847,3554,4401,0,3,1,5
summer,847,3554,4401,0,3,1,6
summer,676,3725,4401,0,1,1,5
summer,676,3725,4401,0,1,1,6
summer,676,3725,4401,0,3,1,5
summer,676,3725,4401,0,3,1,6
summer,603,3848,4451,0,2,1,5
summer,255,2378,2633,0,3,1,5
summer,614,3819,4433,0,4,1,5
summer,894,3714,4608,0,5,1,5
summer,1612,3102,4714,0,6,0,5
summer,1401,2932,4333,0,0,0,5
summer,664,3698,4362,0,1,1,5
summer,694,4109,4803,0,2,1,5
summer,550,3632,4182,0,3,1,5
summer,695,4169,4864,0,4,1,5
summer,692,3413,4105,0,5,1,5
summer,902,2507,3409,0,6,0,5
summer,1582,2971,4553,0,0,0,5
summer,773,3185,3958,0,1,1,5
summer,678,3445,4123,0,2,1,5
summer,536,3319,3855,0,3,1,5
summer,735,3840,4575,0,4,1,5
summer,909,4008,4917,0,5,1,5
summer,2258,3547,5805,0,6,0,5
summer,1576,3084,4660,0,0,0,5
summer,836,3438,4274,0,1,1,5
summer,836,3438,4274,0,1,1,9
summer,836,3438,4274,0,0,0,5
summer,836,3438,4274,0,0,0,9
fall,1353,2921,4274,0,1,1,5
fall,1353,2921,4274,0,1,1,9
fall,1353,2921,4274,0,0,0,5
fall,1353,2921,4274,0,0,0,9
summer,659,3833,4492,0,2,1,5
summer,740,4238,4978,0,3,1,5
summer,758,3919,4677,0,4,1,5
summer,871,3808,4679,0,5,1,5
summer,2001,2757,4758,0,6,0,5
summer,2001,2757,4758,0,6,0,8
summer,2001,2757,4758,0,1,1,5
summer,2001,2757,4758,0,1,1,8
fall,833,3925,4758,0,6,0,5
fall,833,3925,4758,0,6,0,8
fall,833,3925,4758,0,1,1,5
fall,833,3925,4758,0,1,1,8
summer,2355,2433,4788,0,0,0,5
summer,1549,2549,4098,1,1,0,5
summer,1549,2549,4098,1,1,0,1
summer,1549,2549,4098,0,5,1,5
summer,1549,2549,4098,0,5,1,1
springer,307,3791,4098,1,1,0,5
springer,307,3791,4098,1,1,0,1
springer,307,3791,4098,0,5,1,5
springer,307,3791,4098,0,5,1,1
summer,673,3309,3982,0,2,1,5
summer,513,3461,3974,0,3,1,6
summer,513,3461,3974,0,3,1,11
summer,513,3461,3974,0,4,1,6
summer,513,3461,3974,0,4,1,11
winter,318,3656,3974,0,3,1,6
winter,318,3656,3974,0,3,1,11
winter,318,3656,3974,0,4,1,6
winter,318,3656,3974,0,4,1,11
summer,736,4232,4968,0,4,1,6
summer,1869,3473,5342,0,6,0,6
summer,1685,3221,4906,0,0,0,6
summer,673,3875,4548,0,1,1,6
summer,763,4070,4833,0,2,1,6
summer,563,3352,3915,0,4,1,6
summer,815,3771,4586,0,5,1,6
summer,1729,3237,4966,0,6,0,6
summer,1467,2993,4460,0,0,0,6
summer,863,4157,5020,0,1,1,6
summer,727,4164,4891,0,2,1,6
summer,769,4411,5180,0,3,1,6
summer,545,3222,3767,0,4,1,6
summer,863,3981,4844,0,5,1,6
summer,1807,3312,5119,0,6,0,6
summer,1807,3312,5119,0,6,0,7
summer,1807,3312,5119,0,6,0,6
summer,1807,3312,5119,0,6,0,7
fall,2204,2915,5119,0,6,0,6
fall,2204,2915,5119,0,6,0,7
fall,2204,2915,5119,0,6,0,6
fall,2204,2915,5119,0,6,0,7
summer,1639,3105,4744,0,0,0,6
summer,699,3311,4010,0,1,1,6
fall,774,4061,4835,0,2,1,6
fall,661,3846,4507,0,3,1,6
fall,746,4044,4790,0,4,1,6
fall,969,4022,4991,0,5,1,6
fall,1782,3420,5202,0,6,0,6
fall,1782,3420,5202,0,6,0,9
fall,1782,3420,5202,0,5,1,6
fall,1782,3420,5202,0,5,1,9
winter,830,4372,5202,0,6,0,6
winter,830,4372,5202,0,6,0,9
winter,830,4372,5202,0,5,1,6
winter,830,4372,5202,0,5,1,9
fall,1920,3385,5305,0,0,0,6
fall,854,3854,4708,0,1,1,6
fall,732,3916,4648,0,2,1,6
fall,848,4377,5225,0,3,1,6
fall,1027,4488,5515,0,4,1,6
fall,1246,4116,5362,0,5,1,7
fall,2282,2367,4649,0,0,0,7
fall,2282,2367,4649,0,0,0,12
fall,2282,2367,4649,0,0,0,7
fall,2282,2367,4649,0,0,0,12
winter,892,3757,4649,0,0,0,7
winter,892,3757,4649,0,0,0,12
winter,892,3757,4649,0,0,0,7
winter,892,3757,4649,0,0,0,12
fall,3065,2978,6043,1,1,0,7
fall,3065,2978,6043,1,1,0,5
fall,3065,2978,6043,1,1,0,7
fall,3065,2978,6043,1,1,0,5
summer,2557,3486,6043,1,1,0,7
summer,2557,3486,6043,1,1,0,5
summer,2557,3486,6043,1,1,0,7
summer,2557,3486,6043,1,1,0,5
fall,1031,3634,4665,0,2,1,7
fall,784,3845,4629,0,3,1,7
fall,754,3838,4592,0,4,1,7
fall,692,3348,4040,0,5,1,7
fall,1988,3348,5336,0,6,0,7
fall,1743,3138,4881,0,0,0,7
fall,723,3363,4086,0,1,1,7
fall,662,3596,4258,0,2,1,7
fall,748,3594,4342,0,3,1,7
fall,888,4196,5084,0,4,1,7
fall,1318,4220,5538,0,5,1,7
fall,2418,3505,5923,0,6,0,7
fall,2006,3296,5302,0,0,0,7
fall,841,3617,4458,0,1,1,7
fall,752,3789,4541,0,2,1,7
fall,644,3688,4332,0,3,1,7
fall,632,3152,3784,0,4,1,7
fall,632,3152,3784,0,4,1,2
fall,632,3152,3784,0,1,1,7
fall,632,3152,3784,0,1,1,2
springer,206,3578,3784,0,4,1,7
springer,206,3578,3784,0,4,1,2
springer,206,3578,3784,0,1,1,7
springer,206,3578,3784,0,1,1,2
fall,562,2825,3387,0,5,1,7
fall,987,2298,3285,0,6,0,7
fall,1050,2556,3606,0,0,0,7
fall,568,3272,3840,0,1,1,7
fall,750,3840,4590,0,2,1,7
fall,755,3901,4656,0,3,1,7
fall,606,3784,4390,0,4,1,7
fall,670,3176,3846,0,5,1,7
fall,1559,2916,4475,0,6,0,7
fall,1524,2778,4302,0,0,0,7
fall,729,3537,4266,0,1,1,8
fall,801,4044,4845,0,2,1,8
fall,467,3107,3574,0,3,1,8
fall,799,3777,4576,0,4,1,8
fall,1023,3843,4866,0,5,1,8
fall,1521,2773,4294,0,6,0,8
fall,1298,2487,3785,0,0,0,8
fall,846,3480,4326,0,1,1,8
fall,907,3695,4602,0,2,1,8
fall,884,3896,4780,0,3,1,8
fall,812,3980,4792,0,4,1,8
fall,1051,3854,4905,0,5,1,8
fall,1504,2646,4150,0,6,0,8
fall,1338,2482,3820,0,0,0,8
fall,775,3563,4338,0,1,1,8
fall,721,4004,4725,0,2,1,8
fall,668,4026,4694,0,3,1,8
fall,639,3166,3805,0,4,1,8
fall,797,3356,4153,0,5,1,8
fall,1914,3277,5191,0,6,0,8
fall,1914,3277,5191,0,6,0,12
fall,1914,3277,5191,0,6,0,8
fall,1914,3277,5191,0,6,0,12
winter,951,4240,5191,0,6,0,8
winter,951,4240,5191,0,6,0,12
winter,951,4240,5191,0,6,0,8
winter,951,4240,5191,0,6,0,12
fall,1249,2624,3873,0,0,0,8
fall,1281,4614,5895,0,2,1,8
fall,949,4181,5130,0,3,1,8
fall,435,3107,3542,0,4,1,8
fall,768,3893,4661,0,5,1,8
fall,226,889,1115,0,6,0,8
fall,1415,2919,4334,0,0,0,8
fall,729,3905,4634,0,1,1,8
fall,775,4429,5204,0,2,1,8
fall,688,4370,5058,0,3,1,8
fall,783,4332,5115,0,4,1,9
fall,783,4332,5115,0,4,1,5
fall,783,4332,5115,0,2,1,9
fall,783,4332,5115,0,2,1,5
summer,625,4490,5115,0,4,1,9
summer,625,4490,5115,0,4,1,5
summer,625,4490,5115,0,2,1,9
summer,625,4490,5115,0,2,1,5
fall,875,3852,4727,0,5,1,9
fall,1935,2549,4484,0,6,0,9
fall,2521,2419,4940,0,0,0,9
fall,204,2506,2710,0,2,1,9
fall,118,1878,1996,0,3,1,9
fall,153,1689,1842,0,4,1,9
fall,417,3127,3544,0,5,1,9
fall,1750,3595,5345,0,6,0,9
fall,1633,3413,5046,0,0,0,9
fall,690,4023,4713,0,1,1,9
fall,701,4062,4763,0,2,1,9
fall,647,4138,4785,0,3,1,9
fall,428,3231,3659,0,4,1,9
fall,742,4018,4760,0,5,1,9
fall,1434,3077,4511,0,6,0,9
fall,691,3848,4539,0,1,1,9
fall,438,3203,3641,0,2,1,9
fall,539,3813,4352,0,3,1,9
fall,555,4240,4795,0,4,1,9
winter,258,2137,2395,0,5,1,9
winter,1776,3647,5423,0,6,0,9
winter,1544,3466,5010,0,0,0,9
winter,684,3946,4630,0,1,1,9
winter,477,3643,4120,0,2,1,9
winter,480,3427,3907,0,3,1,9
winter,653,4186,4839,0,4,1,9
winter,480,1949,2429,0,6,0,10
winter,616,2302,2918,0,0,0,10
winter,330,3240,3570,0,1,1,10
winter,486,3970,4456,0,2,1,10
winter,559,4267,4826,0,3,1,10
winter,639,4126,4765,0,4,1,10
winter,949,4036,4985,0,5,1,10
winter,2235,3174,5409,0,6,0,10
winter,2235,3174,5409,0,6,0,4
winter,2235,3174,5409,0,4,1,10
winter,2235,3174,5409,0,4,1,4
summer,663,4746,5409,0,6,0,10
summer,663,4746,5409,0,6,0,4
summer,663,4746,5409,0,4,1,10
summer,663,4746,5409,0,4,1,4
winter,2397,3114,5511,0,0,0,10
winter,1514,3603,5117,1,1,0,10
winter,667,3896,4563,0,2,1,10
winter,217,2199,2416,0,3,1,10
winter,290,2623,2913,0,4,1,10
winter,529,3115,3644,0,5,1,10
winter,1899,3318,5217,0,6,0,10
winter,1748,3293,5041,0,0,0,10
winter,713,3857,4570,0,1,1,10
winter,637,4111,4748,0,2,1,10
winter,254,2170,2424,0,3,1,10
winter,254,2170,2424,0,3,1,11
winter,254,2170,2424,0,0,0,10
winter,254,2170,2424,0,0,0,11
winter,309,2115,2424,0,3,1,10
winter,309,2115,2424,0,3,1,11
winter,309,2115,2424,0,0,0,10
winter,309,2115,2424,0,0,0,11
winter,471,3724,4195,0,4,1,10
winter,471,3724,4195,0,4,1,11
winter,471,3724,4195,0,2,1,10
winter,471,3724,4195,0,2,1,11
winter,449,3746,4195,0,4,1,10
winter,449,3746,4195,0,4,1,11
winter,449,3746,4195,0,2,1,10
winter,449,3746,4195,0,2,1,11
winter,676,3628,4304,0,5,1,10
winter,1499,2809,4308,0,6,0,10
winter,1619,2762,4381,0,0,0,10
winter,699,3488,4187,0,1,1,10
winter,695,3992,4687,0,2,1,10
winter,404,3490,3894,0,3,1,10
winter,240,2419,2659,0,4,1,10
winter,456,3291,3747,0,5,1,10
winter,57,570,627,0,6,0,10
winter,885,2446,3331,0,0,0,10
winter,362,3307,3669,0,1,1,10
winter,410,3658,4068,0,2,1,11
winter,370,3816,4186,0,3,1,11
winter,470,3576,4046,0,5,1,11
winter,1156,2770,3926,0,6,0,11
winter,952,2697,3649,0,0,0,11
winter,373,3662,4035,0,1,1,11
winter,376,3829,4205,0,2,1,11
winter,305,3804,4109,0,3,1,11
winter,190,2743,2933,0,4,1,11
winter,440,2928,3368,1,5,0,11
winter,1275,2792,4067,0,6,0,11
winter,1004,2713,3717,0,0,0,11
winter,595,3891,4486,0,1,1,11
winter,145,1672,1817,0,3,1,11
winter,139,2914,3053,0,4,1,11
winter,245,3147,3392,0,5,1,11
winter,943,2720,3663,0,6,0,11
winter,787,2733,3520,0,0,0,11
winter,220,2545,2765,0,1,1,11
winter,69,1538,1607,0,2,1,11
winter,112,2454,2566,0,3,1,11
winter,560,935,1495,1,4,0,11
winter,1095,1697,2792,0,5,1,11
winter,1249,1819,3068,0,6,0,11
winter,1249,1819,3068,0,6,0,12
winter,1249,1819,3068,0,4,1,11
winter,1249,1819,3068,0,4,1,12
springer,227,2841,3068,0,6,0,11
springer,227,2841,3068,0,6,0,12
springer,227,2841,3068,0,4,1,11
springer,227,2841,3068,0,4,1,12
winter,810,2261,3071,0,0,0,11
winter,253,3614,3867,0,1,1,11
winter,96,2818,2914,0,2,1,11
winter,188,3425,3613,0,3,1,11
winter,182,3545,3727,0,4,1,12
winter,268,3672,3940,0,5,1,12
winter,706,2908,3614,0,6,0,12
winter,634,2851,3485,0,0,0,12
winter,233,3578,3811,0,1,1,12
winter,126,2468,2594,0,2,1,12
winter,50,655,705,0,3,1,12
winter,150,3172,3322,0,4,1,12
winter,261,3359,3620,0,5,1,12
winter,502,2688,3190,0,6,0,12
winter,377,2366,2743,0,0,0,12
winter,143,3167,3310,0,1,1,12
winter,155,3368,3523,0,2,1,12
winter,178,3562,3740,0,3,1,12
winter,181,3528,3709,0,4,1,12
winter,178,3399,3577,0,5,1,12
winter,275,2464,2739,0,6,0,12
winter,220,2211,2431,0,0,0,12
winter,260,3143,3403,0,1,1,12
winter,216,3534,3750,0,2,1,12
springer,107,2553,2660,0,3,1,12
springer,163,2046,2209,0,5,1,12
springer,155,856,1011,0,6,0,12
springer,303,451,754,0,0,0,12
springer,430,887,1317,1,1,0,12
springer,255,2047,2302,0,3,1,12
springer,254,2169,2423,0,4,1,12
springer,491,2508,2999,0,5,1,12
springer,665,1820,2485,0,6,0,12
springer,686,1608,2294,0,0,0,1
springer,244,1707,1951,1,1,0,1
springer,89,2147,2236,0,2,1,1
springer,95,2273,2368,0,3,1,1
springer,140,3132,3272,0,4,1,1
springer,1070,3451,4521,0,6,0,1
springer,599,2826,3425,0,0,0,1
springer,106,2270,2376,0,1,1,1
springer,173,3425,3598,0,2,1,1
springer,92,2085,2177,0,3,1,1
springer,269,3828,4097,0,4,1,1
springer,174,3040,3214,0,5,1,1
springer,174,3040,3214,0,5,1,4
springer,174,3040,3214,0,1,1,1
springer,174,3040,3214,0,1,1,4
summer,195,3019,3214,0,5,1,1
summer,195,3019,3214,0,5,1,4
summer,195,3019,3214,0,1,1,1
summer,195,3019,3214,0,1,1,4
springer,333,2160,2493,0,6,0,1
springer,284,2027,2311,0,0,0,1
springer,217,2081,2298,1,1,0,1
springer,127,2808,2935,0,2,1,1
springer,109,3267,3376,0,3,1,1
springer,130,3162,3292,0,4,1,1
springer,115,3048,3163,0,5,1,1
springer,67,1234,1301,0,6,0,1
springer,145,2287,2432,0,1,1,1
springer,439,3900,4339,0,2,1,1
springer,467,3803,4270,0,3,1,1
springer,244,3831,4075,0,4,1,1
springer,269,3187,3456,0,5,1,1
springer,775,3248,4023,0,6,0,1
springer,558,2685,3243,0,0,0,1
springer,126,3498,3624,0,1,1,1
springer,324,4185,4509,0,2,1,1
springer,304,4275,4579,0,3,1,2
springer,190,3571,3761,0,4,1,2
springer,310,3841,4151,0,5,1,2
springer,384,2448,2832,0,6,0,2
springer,318,2629,2947,0,0,0,2
springer,199,4176,4375,0,2,1,2
springer,109,2693,2802,0,3,1,2
springer,163,3667,3830,0,4,1,2
springer,227,3604,3831,0,5,1,2
springer,192,1977,2169,0,6,0,2
springer,73,1456,1529,0,0,0,2
springer,94,3328,3422,0,1,1,2
springer,135,3787,3922,0,2,1,2
springer,141,4028,4169,0,3,1,2
springer,74,2931,3005,0,4,1,2
springer,349,3805,4154,0,5,1,2
springer,1435,2883,4318,0,6,0,2
springer,618,2071,2689,0,0,0,2
springer,502,2627,3129,1,1,0,2
springer,163,3614,3777,0,2,1,2
springer,394,4379,4773,0,3,1,2
springer,516,4546,5062,0,4,1,2
springer,246,3241,3487,0,5,1,2
springer,317,2415,2732,0,6,0,2
springer,515,2874,3389,0,0,0,2
springer,253,4069,4322,0,1,1,2
springer,229,4134,4363,0,2,1,2
springer,65,1769,1834,0,3,1,2
springer,325,4665,4990,0,4,1,3
springer,246,2948,3194,0,5,1,3
springer,956,3110,4066,0,6,0,3
springer,710,2713,3423,0,0,0,3
springer,203,3130,3333,0,1,1,3
springer,221,3735,3956,0,2,1,3
springer,432,4484,4916,0,3,1,3
springer,486,4896,5382,0,4,1,3
springer,447,4122,4569,0,5,1,3
springer,968,3150,4118,0,6,0,3
springer,1658,3253,4911,0,0,0,3
springer,838,4460,5298,0,1,1,3
springer,762,5085,5847,0,2,1,3
springer,762,5085,5847,0,2,1,11
springer,762,5085,5847,0,5,1,3
springer,762,5085,5847,0,5,1,11
winter,618,5229,5847,0,2,1,3
winter,618,5229,5847,0,2,1,11
winter,618,5229,5847,0,5,1,3
winter,618,5229,5847,0,5,1,11
springer,997,5315,6312,0,3,1,3
springer,1005,5187,6192,0,4,1,3
springer,548,3830,4378,0,5,1,3
springer,3155,4681,7836,0,6,0,3
springer,2207,3685,5892,0,0,0,3
springer,982,5171,6153,0,1,1,3
springer,1051,5042,6093,0,2,1,3
summer,1122,5108,6230,0,3,1,3
summer,1334,5537,6871,0,4,1,3
summer,2469,5893,8362,0,5,1,3
summer,1033,2339,3372,0,6,0,3
summer,1532,3464,4996,0,0,0,3
summer,795,4763,5558,0,1,1,3
summer,531,4571,5102,0,2,1,3
summer,674,5024,5698,0,3,1,3
summer,674,5024,5698,0,3,1,11
summer,674,5024,5698,0,5,1,3
summer,674,5024,5698,0,5,1,11
winter,484,5214,5698,0,3,1,3
winter,484,5214,5698,0,3,1,11
winter,484,5214,5698,0,5,1,3
winter,484,5214,5698,0,5,1,11
summer,834,5299,6133,0,4,1,3
summer,796,4663,5459,0,5,1,3
summer,2301,3934,6235,0,6,0,3
summer,2347,3694,6041,0,0,0,4
summer,1208,4728,5936,0,1,1,4
summer,1348,5424,6772,0,2,1,4
summer,1058,5378,6436,0,3,1,4
summer,1192,5265,6457,0,4,1,4
summer,1807,4653,6460,0,5,1,4
summer,3252,3605,6857,0,6,0,4
summer,2230,2939,5169,0,0,0,4
summer,905,4680,5585,0,1,1,4
summer,819,5099,5918,0,2,1,4
summer,482,4380,4862,0,3,1,4
summer,1252,5146,6398,0,5,1,4
summer,2795,4665,7460,0,6,0,4
summer,2846,4286,7132,0,0,0,4
summer,1198,5172,6370,1,1,0,4
summer,989,5702,6691,0,2,1,4
summer,347,4020,4367,0,3,1,4
summer,846,5719,6565,0,4,1,4
summer,1340,5950,7290,0,5,1,4
summer,2541,4083,6624,0,6,0,4
summer,120,907,1027,0,0,0,4
summer,518,5115,5633,0,2,1,4
summer,655,5541,6196,0,3,1,4
summer,475,4551,5026,0,4,1,4
summer,1014,5219,6233,0,5,1,4
summer,1120,3100,4220,0,6,0,4
summer,2229,4075,6304,0,0,0,4
summer,665,4907,5572,0,1,1,4
summer,653,5087,5740,0,2,1,5
summer,667,5502,6169,0,3,1,5
summer,764,5657,6421,0,4,1,5
summer,1069,5227,6296,0,5,1,5
summer,2496,4387,6883,0,6,0,5
summer,2496,4387,6883,0,6,0,8
summer,2496,4387,6883,0,1,1,5
summer,2496,4387,6883,0,1,1,8
fall,1207,5676,6883,0,6,0,5
fall,1207,5676,6883,0,6,0,8
fall,1207,5676,6883,0,1,1,5
fall,1207,5676,6883,0,1,1,8
summer,2135,4224,6359,0,0,0,5
summer,1008,5265,6273,0,1,1,5
summer,738,4990,5728,0,2,1,5
summer,620,4097,4717,0,3,1,5
summer,1026,5546,6572,0,4,1,5
summer,1319,5711,7030,0,5,1,5
summer,2622,4807,7429,0,6,0,5
summer,2172,3946,6118,0,0,0,5
summer,342,2501,2843,0,1,1,5
summer,991,6433,7424,0,3,1,5
summer,1242,6142,7384,0,4,1,5
summer,1521,6118,7639,0,5,1,5
summer,3410,4884,8294,0,6,0,5
summer,2704,4425,7129,0,0,0,5
summer,630,3729,4359,0,1,1,5
summer,819,5254,6073,0,2,1,5
summer,766,4494,5260,0,3,1,5
summer,766,4494,5260,0,3,1,11
summer,766,4494,5260,0,3,1,5
summer,766,4494,5260,0,3,1,11
winter,198,5062,5260,0,3,1,5
winter,198,5062,5260,0,3,1,11
winter,198,5062,5260,0,3,1,5
winter,198,5062,5260,0,3,1,11
summer,1059,5711,6770,0,4,1,5
summer,1417,5317,6734,0,5,1,5
summer,2855,3681,6536,0,6,0,5
summer,2855,3681,6536,0,6,0,11
summer,2855,3681,6536,0,6,0,5
summer,2855,3681,6536,0,6,0,11
winter,2090,4446,6536,0,6,0,5
winter,2090,4446,6536,0,6,0,11
winter,2090,4446,6536,0,6,0,5
winter,2090,4446,6536,0,6,0,11
summer,3283,3308,6591,0,0,0,5
summer,3283,3308,6591,0,0,0,7
summer,3283,3308,6591,0,4,1,5
summer,3283,3308,6591,0,4,1,7
fall,888,5703,6591,0,0,0,5
fall,888,5703,6591,0,0,0,7
fall,888,5703,6591,0,4,1,5
fall,888,5703,6591,0,4,1,7
summer,880,4863,5743,0,2,1,5
summer,745,6110,6855,0,3,1,5
summer,1100,6238,7338,0,4,1,5
summer,533,3594,4127,0,5,1,6
summer,2795,5325,8120,0,6,0,6
summer,2494,5147,7641,0,0,0,6
summer,1071,5927,6998,0,1,1,6
summer,968,6033,7001,0,2,1,6
